file,prop. expanded,%_unexpanded,%_1expanded,%_2expanded,%_3expanded,%_4expanded,%_5expanded
Ec257-beforegavage,0.048385027,0.951614973,0.047871658,0.000513369,0,0,0
Ec257-day1-rep1,0.22736759,0.77263241,0.205595352,0.020756952,0.001015286,0,0
Ec257-day1-rep2,0.136391982,0.863608018,0.130601336,0.005657016,0.00013363,0,0
Ec257-day1-rep3,0.140810066,0.859189934,0.129548367,0.010795697,0.000466001,0,0
Ec257-day1-rep4,0.214500426,0.785499574,0.199156535,0.01498497,0.000358921,0,0
Ec257-day2-rep1,0.031544523,0.968455477,0.030885926,0.000635887,0,2.27E-05,0
Ec257-day2-rep2,0.207723142,0.792276858,0.203283453,0.004423719,1.60E-05,0,0
Ec257-day2-rep3,0.038425983,0.961574017,0.036869839,0.00152533,3.08E-05,0,0
Ec257-day2-rep4,0.060027075,0.939972925,0.057411852,0.002553689,6.15E-05,0,0
Ec257-day3-rep1,0.035599706,0.964400294,0.034917556,0.00068215,0,0,0
Ec257-day3-rep2,0.133883011,0.866116989,0.124571165,0.009052383,0.000230634,2.88E-05,0
Ec257-day3-rep3,0.055979946,0.944020054,0.053367636,0.002599116,1.32E-05,0,0
Ec257-day3-rep4,0.076456419,0.923543581,0.073996661,0.002434268,2.55E-05,0,0
Ec257-day4-rep1,0.042589693,0.957410307,0.041691613,0.000886566,1.15E-05,0,0
Ec257-day4-rep2,0.087428842,0.912571158,0.085110515,0.002269776,4.86E-05,0,0
Ec257-day4-rep3,0.062853817,0.937146183,0.05981165,0.002949579,9.26E-05,0,0
Ec257-day4-rep4,0.09052566,0.90947434,0.085361324,0.005104425,5.99E-05,0,0
Ec257-day6-rep1,0.062722354,0.937277646,0.060775706,0.001906373,2.69E-05,1.34E-05,0
Ec257-day6-rep2,0.077466902,0.922533098,0.074991561,0.002419083,5.63E-05,0,0
Ec257-day6-rep3,0.082917101,0.917082899,0.079413561,0.003467606,3.59E-05,0,0
Ec257-day6-rep4,0.102640314,0.897359686,0.095417992,0.007069543,0.00015278,0,0
Ec257-day8-rep1,0.099055447,0.900944553,0.09437868,0.00452343,0.000153337,0,0
Ec257-day8-rep2,0.093838292,0.906161708,0.089621074,0.004092571,0.000124647,0,0
Ec257-day8-rep3,0.104536377,0.895463623,0.099352755,0.005013667,0.000127466,4.25E-05,0
Ec257-day8-rep4,0.125239061,0.874760939,0.115097073,0.00972182,0.000420168,0,0
Ec257-day10-rep1,0.129140775,0.870859225,0.120216792,0.00848012,0.000443863,0,0
Ec257-day10-rep2,0.114077615,0.885922385,0.108068738,0.005758507,0.00025037,0,0
Ec257-day10-rep3,0.131978819,0.868021181,0.124035916,0.00773186,0.000211043,0,0
Ec257-day10-rep4,0.161454945,0.838545055,0.149426783,0.011493256,0.000534906,0,0
Ec257-day12-rep1,0.155632707,0.844367293,0.144753382,0.01041542,0.000463905,0,0
Ec257-day12-rep2,0.155146756,0.844853244,0.144159833,0.010511984,0.000474939,0,0
Ec257-day12-rep3,0.17219263,0.82780737,0.15973786,0.012128648,0.000310593,1.55E-05,0
Ec257-day12-rep4,0.190819145,0.809180855,0.173976773,0.016024918,0.000775172,2.82E-05,1.41E-05
Ec257-day14-rep1,0.178548549,0.821451451,0.162203716,0.015649309,0.000677222,1.83E-05,0
Ec257-day14-rep2,0.212748981,0.787251019,0.193029949,0.018721682,0.000940358,5.70E-05,0
Ec257-day14-rep3,0.192892639,0.807107361,0.176738181,0.015613975,0.000510457,3.00E-05,0
Ec257-day14-rep4,0.232082066,0.767917934,0.207026463,0.023814927,0.001225546,1.51E-05,0
Ec257-day16-rep1,0.22350195,0.77649805,0.202608763,0.01979017,0.001077365,2.57E-05,0
Ec257-day16-rep2,0.235236457,0.764763543,0.21275106,0.021265104,0.001180283,4.00E-05,0
Ec257-day16-rep3,0.228033497,0.771966503,0.206151202,0.020581437,0.001231169,4.65E-05,2.32E-05
Ec257-day16-rep4,0.284266173,0.715733827,0.248220611,0.033832906,0.002212655,0,0
Ec257-day18-rep1,0.252198086,0.747801914,0.224734937,0.025678821,0.00168089,9.05E-05,1.29E-05
Ec257-day18-rep2,0.264749295,0.735250705,0.238745387,0.024158889,0.001801606,4.34E-05,0
Ec257-day18-rep3,0.244484837,0.755515163,0.218959732,0.02364529,0.001786602,9.32E-05,0
Ec257-day18-rep4,0.386592072,0.613407928,0.336204521,0.046745654,0.003522097,0.000119799,0
Ec257-day20-rep1,0.284247911,0.715752089,0.250846831,0.030875983,0.002463509,6.16E-05,0
Ec257-day20-rep2,0.298164102,0.701835898,0.265382506,0.030329429,0.002355371,9.68E-05,0
Ec257-day20-rep3,0.258781745,0.741218255,0.229617545,0.027576051,0.001501523,7.22E-05,1.44E-05
Ec257-day20-rep4,0.525737429,0.474262571,0.44668157,0.073481593,0.00540007,0.000174196,0
Ec257-day22-rep1,0.319352344,0.680647656,0.274527263,0.041099421,0.003631933,9.37E-05,0
Ec257-day22-rep2,0.35914253,0.64085747,0.307509464,0.047759486,0.003741527,0.000132054,0
Ec257-day22-rep3,0.275161477,0.724838523,0.242666027,0.030275761,0.002179695,4.00E-05,0
Ec257-day22-rep4,0.668538242,0.331461758,0.556050743,0.105012896,0.007281596,0.000193006,0
Ec257-day24-rep1,0.335004215,0.664995785,0.285118618,0.045550337,0.004064306,0.000240848,3.01E-05
Ec257-day24-rep2,0.433579276,0.566420724,0.355930019,0.070399845,0.006830557,0.000418855,0
Ec257-day24-rep3,0.29783721,0.70216279,0.261136813,0.034248255,0.0024031,3.27E-05,1.63E-05
Ec257-day24-rep4,0.866150197,0.133849803,0.682849001,0.166117776,0.016569118,0.000511919,0.000102384
Ec257-day28-rep1,0.401404502,0.598595498,0.331339617,0.061787402,0.007556541,0.000720942,0
Ec257-day28-rep2,0.619188869,0.380811131,0.451731205,0.145777155,0.020547945,0.000916837,0.000215726
Ec257-day28-rep3,0.366759743,0.633240257,0.30921452,0.052628384,0.004765084,0.000151754,0
Ec257-day28-rep4,0.908872651,0.091127349,0.619185804,0.248413361,0.038705637,0.002129436,0.000438413
Ec257-day30-rep1,0.474747068,0.525252932,0.376606822,0.085741889,0.011029708,0.001288141,8.05E-05
Ec257-day30-rep2,0.721068498,0.278931502,0.489700218,0.196365768,0.031401775,0.00301457,0.000586166
Ec257-day30-rep3,0.459349491,0.540650509,0.372513837,0.078293614,0.008162956,0.000353812,2.53E-05
Ec257-day30-rep4,0.959904153,0.040095847,0.56465655,0.324254526,0.06465655,0.005165069,0.001171459
Ec257-day32-rep1,0.495880612,0.504119388,0.387000493,0.093956586,0.012900839,0.001800691,0.000222003
Ec257-day32-rep2,0.694764862,0.305235138,0.449655639,0.205475979,0.035830481,0.003253475,0.000549288
Ec257-day32-rep3,0.476905269,0.523094731,0.380833395,0.08423973,0.010968619,0.00082678,3.67E-05
Ec257-day32-rep4,0.930170231,0.069829769,0.518811679,0.325539139,0.077256777,0.007199882,0.001362754
Ec257-day34-rep1,0.521231862,0.478768138,0.389528908,0.113120903,0.016232596,0.001962329,0.000387126
Ec257-day34-rep2,0.650989935,0.349010065,0.428647274,0.190598385,0.029067581,0.00199093,0.000685765
Ec257-day34-rep3,0.509797945,0.490202055,0.403544679,0.092565174,0.012483307,0.001001568,0.000203217
Ec257-day34-rep4,0.95953406,0.04046594,0.465667327,0.379057855,0.102050009,0.010454312,0.002304558
Ec257-day36-rep1,0.548885678,0.451114322,0.40351399,0.122086724,0.018993393,0.003717946,0.000573626
Ec257-day36-rep2,0.533812664,0.466187336,0.346100388,0.165013742,0.021339966,0.001118206,0.000240362
Ec257-day36-rep3,0.550657394,0.449342606,0.421820124,0.111148485,0.016115788,0.001266311,0.000306685
Ec257-day36-rep4,0.945207646,0.054792354,0.415933664,0.395169101,0.118697001,0.013075448,0.002332431
Ec257-day38-rep1,0.573327923,0.426672077,0.416920268,0.130979915,0.020802056,0.00396294,0.000662744
Ec257-day38-rep2,0.708391136,0.291608864,0.503468146,0.172731477,0.028741152,0.003165795,0.000284566
Ec257-day38-rep3,0.579164282,0.420835718,0.435813776,0.122820073,0.018469758,0.001564587,0.000496089
Ec257-day38-rep4,0.977760614,0.022239386,0.361040617,0.438339034,0.155638923,0.01836527,0.00437677
Ec257-day40-rep1,0.589189552,0.410810448,0.416732907,0.141825551,0.02469744,0.004948444,0.000985211
Ec257-day40-rep2,0.59359281,0.40640719,0.414030538,0.154590776,0.023272451,0.001497843,0.000201203
Ec257-day40-rep3,0.601159245,0.398840755,0.436516205,0.136438543,0.024340348,0.00278446,0.001079689
Ec257-day40-rep4,0.97942954,0.02057046,0.321649252,0.443162948,0.1831573,0.024682293,0.006777746
Ec257-day42-rep1,0.619129866,0.380870134,0.430320854,0.152646812,0.029175614,0.005617278,0.001369309
Ec257-day42-rep2,0.598226047,0.401773953,0.417361904,0.152871696,0.025884781,0.001646615,0.000461052
Ec257-day42-rep3,0.617056735,0.382943265,0.444804724,0.142851967,0.02590392,0.002789653,0.000706471
Ec257-day42-rep4,0.989879112,0.010120888,0.276658441,0.445079603,0.223523777,0.03401743,0.01059986
Ec257-day44-rep1,0.646983492,0.353016508,0.436798399,0.166283142,0.034577289,0.007383692,0.00194097
Ec257-day44-rep2,0.658310179,0.341689821,0.470068199,0.154268755,0.031005304,0.002778479,0.000189442
Ec257-day44-rep3,0.625805288,0.374194712,0.445240427,0.148250271,0.029144978,0.002319229,0.000850384
Ec257-day44-rep4,0.995427875,0.004572125,0.223394041,0.439015469,0.265228987,0.050872514,0.016916864
Ec257-day46-rep1,0.672486685,0.327513315,0.437036732,0.183536485,0.040506781,0.00949871,0.001907978
Ec257-day46-rep2,0.757185369,0.242814631,0.534875253,0.178953052,0.038736329,0.003867355,0.000753381
Ec257-day46-rep3,0.650449498,0.349550502,0.431772333,0.165873436,0.047339248,0.004622285,0.000842196
Ec257-day46-rep4,0.985824577,0.014175423,0.254340723,0.389832137,0.263086238,0.056733726,0.021831753
Ec257-day48-rep1,0.675631902,0.324368098,0.440261759,0.186535787,0.03798773,0.008474438,0.002372188
Ec257-day48-rep2,0.743602234,0.256397766,0.503361263,0.196512081,0.040530008,0.002776695,0.000422188
Ec257-day48-rep3,0.677912504,0.322087496,0.449510137,0.180211466,0.042622951,0.004229314,0.001338636
Ec257-day48-rep4,0.99057664,0.00942336,0.250384715,0.367770381,0.272533933,0.070130544,0.029757068
Ec257-day50-rep1,0.71467123,0.28532877,0.445205029,0.205950109,0.048196538,0.011896926,0.003422629
Ec257-day50-rep2,0.840860149,0.159139851,0.568448902,0.214821879,0.05171353,0.004614533,0.001261306
Ec257-day50-rep3,0.718815797,0.281184203,0.410296783,0.215822333,0.08255369,0.008275509,0.001867482
Ec257-day50-rep4,0.989473475,0.010526525,0.230847296,0.321586341,0.304652366,0.088052692,0.044334779
Ec257-day52-rep1,0.726845341,0.273154659,0.438773541,0.217635867,0.055187912,0.012118455,0.003129567
Ec257-day52-rep2,0.817969605,0.182030395,0.574187493,0.192643219,0.045399305,0.00466868,0.001070909
Ec257-day52-rep3,0.722287701,0.277712299,0.456287937,0.202310095,0.055292003,0.006600271,0.001797395
Ec257-day52-rep4,0.991685272,0.008314728,0.231734545,0.310247132,0.301054739,0.101947802,0.046701055
Ec257-day54-rep1,0.7532238,0.2467762,0.435933102,0.239133992,0.064574197,0.010898737,0.002683773
Ec257-day54-rep2,0.872474473,0.127525527,0.628536573,0.19410418,0.043984692,0.004712646,0.001136383
Ec257-day54-rep3,0.749109167,0.250890833,0.440540978,0.218853256,0.077826369,0.009216067,0.002672498
Ec257-day54-rep4,0.990531367,0.009468633,0.268652405,0.279902425,0.278987659,0.105936352,0.057052527
Ec257-day56-rep1,0.788593589,0.211406411,0.410484933,0.270875583,0.08690006,0.015156367,0.005176646
Ec257-day56-rep2,0.896693208,0.103306792,0.661717378,0.188278135,0.041197061,0.004397943,0.001102691
Ec257-day56-rep3,0.775058492,0.224941508,0.455597656,0.23312007,0.074083276,0.009296644,0.002960846
Ec257-day56-rep4,0.99609332,0.00390668,0.163677048,0.260041818,0.34545688,0.142034408,0.084883166
Ec257-day60-rep1,0.828397109,0.171602891,0.380034948,0.298572444,0.121297832,0.021176401,0.007315484
Ec257-day60-rep2,0.904049136,0.095950864,0.684637549,0.167288444,0.043858053,0.006354261,0.001910828
Ec257-day60-rep3,0.789393753,0.210606247,0.451832697,0.239358864,0.081948036,0.011739113,0.004515043
Ec257-day60-rep4,0.996241048,0.003758952,0.157697939,0.199343173,0.340303882,0.183278598,0.115617457
Ec257-day64-rep1,0.858331066,0.141668934,0.366901162,0.322515449,0.137860002,0.02098799,0.010066462
Ec257-day64-rep2,0.934974893,0.065025107,0.783549086,0.101487999,0.039042705,0.007647303,0.0032478
Ec257-day64-rep3,0.811385854,0.188614146,0.462607064,0.248388366,0.081595593,0.013286523,0.005508308
Ec257-day64-rep4,0.996300786,0.003699214,0.122241264,0.134739174,0.354455777,0.216100986,0.168763585
Ec257-day68-rep1,0.823537571,0.176462429,0.43973092,0.306973196,0.064752592,0.005534172,0.00654669
Ec257-day68-rep2,0.969071673,0.030928327,0.526465675,0.335184154,0.085068809,0.008559383,0.013793652
Ec257-day68-rep3,0.766926516,0.233073484,0.511133234,0.215198087,0.032630821,0.002479978,0.005484396
Ec257-day68-rep4,0.986472829,0.013527171,0.316287025,0.183145456,0.209313535,0.060374718,0.217352095
Ec257-day72-rep1,0.838722374,0.161277626,0.438766867,0.320381953,0.068510263,0.005458917,0.005604374
Ec257-day72-rep2,0.990966936,0.009033064,0.292750824,0.52732644,0.127201454,0.020509033,0.023179184
Ec257-day72-rep3,0.778295011,0.221704989,0.525085814,0.206579834,0.037977461,0.00285262,0.005799282
Ec257-day72-rep4,0.969931954,0.030068046,0.329712272,0.189717108,0.195209146,0.057131014,0.198162412
Ec257-day76-rep1,0.875988634,0.124011366,0.449214618,0.346507222,0.069216197,0.005351646,0.00569895
Ec257-day76-rep2,0.99732043,0.00267957,0.1906137,0.611020058,0.144618747,0.028044434,0.023023492
Ec257-day76-rep3,0.822180603,0.177819397,0.668126139,0.126898158,0.022803199,0.000936424,0.003416684
Ec257-day76-rep4,0.948730703,0.051269297,0.424082002,0.202181521,0.152155762,0.04631291,0.123998508
Ec257-day80-rep1,0.893636331,0.106363669,0.429012234,0.370820779,0.07905277,0.006861001,0.007889546
Ec257-day80-rep2,0.998965154,0.001034846,0.155107564,0.598181058,0.17839161,0.032577763,0.034707158
Ec257-day80-rep3,0.796485027,0.203514973,0.676946912,0.092134886,0.01793798,0.003461715,0.006003534
Ec257-day80-rep4,0.983418536,0.016581464,0.242383656,0.19375224,0.240799079,0.083133689,0.223349871
Ec257-day84-rep1,0.921877733,0.078122267,0.410797712,0.397889758,0.098650078,0.006970295,0.00756989
Ec257-day84-rep2,0.997642539,0.002357461,0.123635729,0.621583864,0.175674496,0.030952589,0.045795861
Ec257-day84-rep3,0.839761471,0.160238529,0.697296427,0.124673676,0.013848657,0.001189071,0.002753639
Ec257-day84-rep4,0.977837754,0.022162246,0.307364924,0.180178544,0.210930607,0.073234027,0.206129652
Ec257-day88-rep1,0.948765701,0.051234299,0.385862028,0.428279906,0.115445576,0.009846654,0.009331537
Ec257-day88-rep2,0.998910869,0.001089131,0.129480003,0.628530179,0.156581647,0.037435729,0.046883311
Ec257-day88-rep3,0.881365314,0.118634686,0.633607721,0.229903491,0.015512347,0.001362475,0.000979279
Ec257-day88-rep4,0.989954489,0.010045511,0.323838046,0.183342373,0.20331549,0.079750985,0.199707595
Ec257-day92-rep1,0.953615022,0.046384978,0.404473985,0.428990139,0.102177428,0.008282357,0.009691113
Ec257-day92-rep2,0.997845613,0.002154387,0.091412283,0.695237148,0.135792649,0.030194558,0.045208976
Ec257-day92-rep3,0.925295445,0.074704555,0.612826982,0.277758598,0.031921392,0.001779312,0.001009162
Ec257-day92-rep4,0.981425348,0.018574652,0.262620507,0.231898261,0.206737015,0.089340657,0.190828908
Ec257-day100-rep1,0.970994724,0.029005276,0.259728385,0.550125914,0.141069073,0.010357957,0.009713395
Ec257-day100-rep2,0.998623064,0.001376936,0.128227194,0.743545611,0.08313253,0.015318417,0.028399312
Ec257-day100-rep3,0.980133604,0.019866396,0.534040081,0.292361313,0.125384839,0.017513796,0.010833575
Ec257-day100-rep4,0.986441251,0.013558749,0.28317836,0.304885883,0.153169907,0.059137785,0.186069315